Категория;Предназначение;Наименование;;Номенклатурный номер;Диаметр;Длинна;Вид покрытия;Класс прочности;Резьба;мкм;Шаг резьбы;Фасовка;Еденица измерения;Цена;Вес за еденицу;;
;;;35;4371013283;5,5;240;Без покрытия;;;;;;;2,99;46,14;;
;;;35;4371013284;5,5;240;Цинк (белый);;;6;;;;3,41;43,83;;
;;;35;4371013061;5,5;245;Без покрытия;;;;;;;2,99;47,2;;
;;;35;4371013285;5,5;260;Без покрытия;;;;;;;2,99;50,63;;
;;;35;4371013286;5,5;260;Цинк (белый);;;6;;;;3,41;50,63;;
;;;35;4371012258;5,5;265;Без покрытия;;;;;;;2,99;49,16;;
;;;35;4371013242;5,5;280;Без покрытия;;;;;;;2,99;52,25;;
;;;35;4371013275;5,5;280;Цинк (белый);;;6;;;;3,41;52,25;;
;;;35;4371013231;5,5;285;Без покрытия;;;;;;;2,99;53,19;;
;;;35;4371013484;5,5;300;Без покрытия;;;;;;;2,99;56,01;;
;;;35;4371013189;5,5;305;Без покрытия;;;;;;;2,99;56,95;;
;;;35;4371012259;6;120;Без покрытия;;;;;;;2,99;26,43;;
;;;35;4371012260;6;120;Цинк (белый);;;6;;;;3,41;26,43;;
;;;;;;;;;;;;;;;;;
;Специальные; Гвозди тарные (ГОСТ 4034-63);36;4371010089;1,4;25;Без покрытия;;;;;;;4,35;0,291;;
;;;36;4371010090;1,4;25;Цинк (белый);;;6;;;;4,77;0,291;;
;;;36;4371010091;1,4;30;Без покрытия;;;;;;;4,16;0,351;;
;;;36;4371010092;1,4;30;Цинк (белый);;;6;;;;4,58;0,351;;
;;;36;4371010117;1,6;25;Без покрытия;;;;;;;3,97;0,384;;
;;;36;4371010118;1,6;25;Цинк (белый);;;6;;;;4,39;0,384;;
;;;36;4371010093;1,6;25;Без покрытия;;;;;;;3,97;0,394;;
;;;36;4371010094;1,6;25;Цинк (белый);;;6;;;;4,39;0,394;;
;;;36;4371010119;1,6;35;Без покрытия;;;;;;;3,91;0,53;;
;;;36;4371010120;1,6;35;Цинк (белый);;;6;;;;4,33;0,53;;
;;;36;4371010121;1,8;32;Без покрытия;;;;;;;3,58;0,61;;
;;;36;4371010122;1,8;32;Цинк (белый);;;6;;;;4,00;0,61;;
;;;36;4371010097;1,8;32;Без покрытия;;;;;;;3,58;0,641;;
;;;36;4371010098;1,8;32;Цинк (белый);;;6;;;;4,00;0,641;;
;;;36;4371010123;1,8;40;Без покрытия;;;;;;;3,52;0,784;;
;;;36;4371010124;1,8;40;Цинк (белый);;;6;;;;3,94;0,784;;
;;;36;4371010099;1,8;40;Без покрытия;;;;;;;3,52;0,783;;
;;;36;4371010100;1,8;40;Цинк (белый);;;6;;;;3,94;0,783;;
;;;36;4371010125;1,8;45;Без покрытия;;;;;;;3,52;0,884;;
;;;36;4371010126;1,8;45;Цинк (белый);;;6;;;;3,94;0,884;;
;;;36;4371010101;1,8;45;Без покрытия;;;;;;;3,52;0,883;;
;;;36;4371010102;1,8;45;Цинк (белый);;;6;;;;3,94;0,883;;
;;;36;4371010127;2;40;Без покрытия;;;;;;;3,46;0,97;;
;;;36;4371010128;2;40;Цинк (белый);;;6;;;;3,88;0,97;;
;;;36;4371010103;2;40;Без покрытия;;;;;;;3,46;0,99;;
;;;36;4371010104;2;40;Цинк (белый);;;6;;;;3,88;0,99;;
;;;36;4371010129;2;45;Без покрытия;;;;;;;3,46;1,12;;
;;;36;4371010130;2;45;Цинк (белый);;;6;;;;3,88;1,12;;
;;;36;4371010105;2;45;Без покрытия;;;;;;;3,46;1,11;;
;;;36;4371010106;2;45;Цинк (белый);;;6;;;;3,88;1,11;;
;;;36;4371010131;2,2;50;Без покрытия;;;;;;;3,09;1,49;;
;;;36;4371010132;2,2;50;Цинк (белый);;;6;;;;3,51;1,49;;
;;;36;4371010107;2,2;50;Без покрытия;;;;;;;3,09;1,49;;
;;;36;4371010108;2,2;50;Цинк (белый);;;6;;;;3,51;1,49;;
;;;36;4371010133;2,5;50;Без покрытия;;;;;;;3,07;1,91;;
;;;36;4371010134;2,5;50;Цинк (белый);;;6;;;;3,49;1,91;;
;;;36;4371010109;2,5;50;Без покрытия;;;;;;;3,07;1,92;;
;;;36;4371010110;2,5;50;Цинк (белый);;;6;;;;3,49;1,92;;
;;;36;4371010135;2,5;60;Без покрытия;;;;;;;3,07;2,28;;
;;;36;4371010136;2,5;60;Цинк (белый);;;6;;;;3,49;2,28;;
;;;36;4371010111;2,5;60;Без покрытия;;;;;;;3,07;2,29;;
;;;36;4371010112;2,5;60;Цинк (белый);;;6;;;;3,49;2,29;;
;;;36;4371010137;3;70;Без покрытия;;;;;;;2,89;3,81;;
;;;36;4371010138;3;70;Цинк (белый);;;6;;;;3,31;3,81;;
;;;36;4371010113;3;70;Без покрытия;;;;;;;2,89;3,82;;
;;;36;4371010114;3;70;Цинк (белый);;;6;;;;3,31;3,82;;
;;;36;4371010139;3;80;Без покрытия;;;;;;;2,89;4,36;;
;;;36;4371010140;3;80;Цинк (белый);;;6;;;;3,31;4,36;;
;;;36;4371010115;3;80;Без покрытия;;;;;;;2,89;4,38;;
;;;36;4371010116;3;80;Цинк (белый);;;6;;;;3,31;4,38;;
;;;;;;;;;;;;;;;;;
;; Гвозди без головок (ч.7811-7091);37;4371011548;1,2;25;Без покрытия;;;;;;;4,71;0,22;;
;;;37;4371011549;1,2;25;Цинк (белый);;;6;;;;5,09;0,22;;
;;;37;4371011550;1,8;30;Без покрытия;;;;;;;3,97;0,6;;
;;;37;4371011551;1,8;30;Цинк (белый);;;6;;;;4,39;0,6;;
;;;37;4371011552;3;70;Без покрытия;;;;;;;3,18;3,88;;
;;;37;4371011553;3;70;Цинк (белый);;;6;;;;3,60;3,88;;
;;;37;4371011554;3;80;Без покрытия;;;;;;;3,18;4,44;;
;;;37;4371011555;3;80;Цинк (белый);;;6;;;;3,60;4,44;;
;;;37;4371011556;5;90;Без покрытия;;;;;;;3,07;13,87;;
;;;37;4371011557;5;90;Цинк (белый);;;6;;;;3,46;13,87;;
;;;37;4371011558;6;120;Без покрытия;;;;;;;2,99;26,63;;
;;;37;4371011559;6;120;Цинк (белый);;;6;;;;3,41;26,63;;
;;;37;4371011560;6;150;Без покрытия;;;;;;;2,99;33,29;;
;;;37;4371011563;8;250;Без покрытия;;;;;;;3,31;95,21;;
;;;;;;;;;;;;;;;;;
;; Гвозди специальные (2 острия) (ч.7811-7304);38;4371013314;6,5;200;Цинк (белый);;;6;;;;4,12;51,84;;
;;;;;;;;;;;;;;;;;
Скобы;; Скоба (ч.7811-7125 (DIN 1159));39;4371012612;1,6;16;Без покрытия;;;;;;;4,57;0,445;;
;;;39;4371012613;1,6;16;Цинк (белый);;;6;;;;4,99;0,445;;
;;;39;4371013859;1,8;15;Цинк (белый);;;6;;;;4,66;0,543;;
;;;39;4371012537;1,8;18;Без покрытия;;;;;;;4,24;0,663;;
;;;39;4371012538;1,8;18;Цинк (белый);;;6;;;;4,66;0,663;;
;;;39;4371012686;1,8;20;Без покрытия;;;;;;;4,24;0,743;;
;;;39;4371012687;1,8;20;Цинк (белый);;;6;;;;4,66;0,743;;
;;;39;4371012708;2;20;Без покрытия;;;;;;;3,95;0,912;;
;;;39;4371012709;2;20;Цинк (белый);;;6;;;;4,37;0,912;;
;;;39;4371012539;2,4;24;Без покрытия;;;;;;;3,46;1,561;;
;;;39;4371012540;2,4;24;Цинк (белый);;;6;;;;3,88;1,561;;
;;;39;4371012676;2,5;25;Без покрытия;;;;;;;3,18;1,76;;
;;;39;4371012683;2,5;25;Горячий цинк;;;70;;;;5,37;1,76;;
;;;39;4371012677;2,5;25;Цинк (белый);;;6;;;;3,60;1,76;;
;;;39;4371012614;2,7;27;Без покрытия;;;;;;;3,18;2,289;;
;;;39;4371012615;2,7;27;Горячий цинк;;;70;;;;5,35;2,289;;
;;;39;4371012616;2,7;27;Цинк (белый);;;6;;;;3,60;2,289;;
;;;39;4371012580;2,7;30;Без покрытия;;;;;;;3,18;2,558;;
;;;39;4371012581;2,7;30;Цинк (белый);;;6;;;;3,60;2,558;;
;;;39;4371013181;2,8;28;Без покрытия;;;;;;;3,18;2,642;;
;;;39;4371013182;2,8;28;Цинк (белый);;;6;;;;3,60;2,642;;
;;;39;4371012688;3;30;Без покрытия;;;;;;;3,07;3,112;;
;;;39;4371012707;3;30;Горячий цинк;;;70;;;;5,03;3,112;;
;;;39;4371012689;3;30;Цинк (белый);;;6;;;;3,49;3,112;;
;;;39;4371012517;3;34;Без покрытия;;;;;;;3,07;3,555;;
;;;39;4371012690;3;34;Цинк (белый);;;6;;;;3,49;3,555;;
;;;39;4371012547;3,1;31;Без покрытия;;;;;;;3,07;3,425;;
;;;39;4371012684;3,1;31;Горячий цинк;;;70;;;;4,96;3,425;;
;;;39;4371012548;3,1;31;Цинк (белый);;;6;;;;3,49;3,425;;
;;;;;;;;;;;;;;;;;
Болты; С шестигранной головкой; Болты с шестигранной головкой ГОСТ 7798-70 н.р. (DIN 931);41;4382012369;6;12;Без покрытия;5.8;Неполная;;1;;;4,14;5,118;;
;;;41;4382012370;6;12;Цинк (белый);5.8;Неполная;6;1;;;4,56;5,118;;
;;;41;4382011904;6;12;Без покрытия;8.8;Неполная;;1;;;5,14;5,118;;
;;;41;4382014897;6;12;Цинк (желтый);8.8;Неполная;6;1;;;5,60;5,118;;
;;;41;4382011905;6;12;Цинк (белый);8.8;Неполная;6;1;;;5,56;5,118;;
;;;41;4382016337;6;12;Цинк (белый);8.8;Неполная;9;1;;;5,60;5,118;;
;;;41;4382012241;6;14;Без покрытия;5.8;Неполная;;1;;;4,14;5,524;;
;;;41;4382012242;6;14;Цинк (белый);5.8;Неполная;6;1;;;4,56;5,524;;
;;;41;4382015944;6;14;Цинк (белый);8.8;Неполная;6;1;;;5,56;4,76;;
;;;41;4382015200;6;14;Цинк (белый);8.8;Неполная;9;1;;;5,60;4,76;;
;;;41;4382012243;6;16;Без покрытия;5.8;Неполная;;1;;;4,14;5,93;;
;;;41;4382012244;6;16;Цинк (белый);5.8;Неполная;6;1;;;4,56;5,93;;
;;;41;4382011906;6;16;Без покрытия;8.8;Неполная;;1;;;5,14;5,93;;
;;;41;4382011907;6;16;Цинк (белый);8.8;Неполная;6;1;;;5,56;5,93;;
;;;41;4382015946;6;16;Цинк (белый);10.9;Неполная;6;1;;;5,75;5,93;;
;;;41;4382012258;6;16;Цинк (белый);6.8;Неполная;6;1;;;5,56;5,93;;
;;;41;4382013922;6;16;Цинк (белый);8.8;Неполная;9;1;;;5,60;5,93;;
;;;41;4382012245;6;18;Без покрытия;5.8;Неполная;;1;;;4,14;6,336;;
;;;41;4382012246;6;18;Цинк (белый);5.8;Неполная;6;1;;;4,56;6,336;;
;;;41;4382014655;6;18;Цинк (желтый);8.8;Неполная;6;1;;;5,60;5,45;;
;;;41;4382017555;6;18;Цинк (белый);8.8;Неполная;6;1;;;5,56;6,336;;
;;;41;4382015234;6;18;Цинк (белый);8.8;Неполная;9;1;;;5,60;6,336;;
;;;41;4382011640;6;20;Без покрытия;5.8;Неполная;;1;;;4,14;6,742;;
;;;41;4382011641;6;20;Цинк (желтый);5.8;Неполная;6;1;;;4,60;6,742;;
;;;41;4382011642;6;20;Цинк (белый);5.8;Неполная;6;1;;;4,56;6,742;;
;;;41;4382011908;6;20;Без покрытия;8.8;Неполная;;1;;;5,14;6,742;;
;;;41;4382011909;6;20;Цинк (белый);8.8;Неполная;6;1;;;5,56;6,742;;
;;;41;4382015686;6;20;Без покрытия;10.9;Неполная;;1;;;5,33;6,742;;
;;;41;4382015685;6;20;Цинк (белый);10.9;Неполная;6;1;;;5,75;6,742;;
;;;41;4382013923;6;20;Цинк (белый);8.8;Неполная;9;1;;;5,60;6,742;;
;;;41;4382014224;6;22;Цинк (белый);5.8;Неполная;6;1;;;4,35;7,204;;
;;;41;4382016940;6;25;Цинк (белый);10.9;Неполная;6;1;;;5,55;7,871;;
;;;41;4382011643;6;25;Без покрытия;5.8;Неполная;;1;;;3,93;7,871;;
;;;41;4382011645;6;25;Цинк (белый);5.8;Неполная;6;1;;;4,35;7,871;;
;;;41;4382011910;6;25;Без покрытия;8.8;Неполная;;1;;;4,93;7,871;;
;;;41;4382011911;6;25;Цинк (белый);8.8;Неполная;6;1;;;5,35;7,871;;
;;;41;4382016023;6;25;Без покрытия;10.9;Неполная;;1;;;5,13;7,871;;
;;;41;4382013924;6;25;Цинк (белый);8.8;Неполная;9;1;;;5,39;7,871;;
;;;41;4382016026;6;30;Цинк (белый);10.9;Неполная;6;1;;;5,55;8,07;;
;;;41;4382011657;6;30;Без покрытия;5.8;Неполная;;1;;;3,93;8,981;;
;;;41;4382011658;6;30;Цинк (желтый);5.8;Неполная;6;1;;;4,39;8,981;;
;;;41;4382011659;6;30;Цинк (белый);5.8;Неполная;6;1;;;4,35;8,981;;
;;;41;4382012469;6;30;Без покрытия;8.8;Неполная;;1;;;4,93;8,981;;
;;;41;4382012470;6;30;Цинк (белый);8.8;Неполная;6;1;;;5,35;8,981;;
;;;41;4382014658;6;30;Цинк (белый);8.8;Неполная;9;1;;;5,39;8,981;;
;;;41;4382013070;6;35;Без покрытия;5.8;Неполная;;1;;;3,93;10,09;;
;;;41;4382012248;6;35;Цинк (белый);5.8;Неполная;6;1;;;4,35;10,09;;
;;;41;4382012349;6;35;Без покрытия;8.8;Неполная;;1;;;4,93;10,09;;
;;;41;4382012350;6;35;Цинк (белый);8.8;Неполная;6;1;;;5,35;10,09;;
;;;41;4382014659;6;35;Цинк (белый);8.8;Неполная;9;1;;;5,39;10,09;;
;;;41;4382016027;6;40;Без покрытия;10.9;Неполная;;1;;;5,13;11,2;;
;;;41;4382012249;6;40;Без покрытия;5.8;Неполная;;1;;;3,93;11,2;;
;;;41;4382012250;6;40;Цинк (белый);5.8;Неполная;6;1;;;4,35;11,2;;
;;;41;4382012471;6;40;Без покрытия;8.8;Неполная;;1;;;4,93;11,2;;
;;;41;4382012472;6;40;Цинк (белый);8.8;Неполная;6;1;;;5,35;11,2;;
;;;41;4382014660;6;40;Цинк (белый);8.8;Неполная;9;1;;;5,39;11,2;;
;;;41;4382011646;6;45;Без покрытия;5.8;Неполная;;1;;;3,93;12,31;;
;;;41;4382011648;6;45;Цинк (белый);5.8;Неполная;6;1;;;4,35;12,31;;
;;;41;4382014690;6;45;Без покрытия;8.8;Неполная;;1;;;4,93;12,31;;
;;;41;4382014225;6;45;Цинк (белый);8.8;Неполная;6;1;;;5,35;12,31;;
;;;41;4382016030;6;45;Цинк (белый);10.9;Неполная;6;1;;;5,55;12,31;;
;;;41;4382014661;6;45;Цинк (белый);8.8;Неполная;9;1;;;5,39;12,31;;
;;;41;4382012251;6;50;Без покрытия;5.8;Неполная;;1;;;3,93;13,42;;
;;;41;4382012252;6;50;Цинк (белый);5.8;Неполная;6;1;;;4,35;13,42;;
;;;41;4382012351;6;50;Без покрытия;8.8;Неполная;;1;;;4,93;13,42;;
;;;41;4382012352;6;50;Цинк (белый);8.8;Неполная;6;1;;;5,35;13,42;;
;;;41;4382015455;6;50;Без покрытия;10.9;Неполная;;1;;;5,13;13,42;;
;;;41;4382015947;8;16;Без покрытия;10.9;Неполная;;1,25;;;4,64;11,57;;
;;;41;4382015948;8;16;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;11,57;;
;;;41;4382010005;8;16;Без покрытия;5.8;Неполная;;1,25;;;3,45;11,57;;
;;;41;4382010006;8;16;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;11,57;;
;;;41;4382011841;8;16;Без покрытия;8.8;Неполная;;1,25;;;4,45;11,57;;
;;;41;4382011842;8;16;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;11,57;;
;;;41;4382012253;8;18;Без покрытия;5.8;Неполная;;1,25;;;3,45;12,3;;
;;;41;4382012254;8;18;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;12,3;;
;;;41;4382013778;8;18;Без покрытия;8.8;Неполная;;1,25;;;4,45;11,27;;
;;;41;4382013779;8;18;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;11,27;;
;;;41;4382015090;8;20;Без покрытия;10.9;Неполная;;1,25;;;4,64;11,66;;
;;;41;4382015091;8;20;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;11,66;;
;;;41;4382010007;8;20;Без покрытия;5.8;Неполная;;1,25;;;3,45;13,02;;
;;;41;4382010008;8;20;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;13,02;;
;;;41;4382011743;8;20;Без покрытия;8.8;Неполная;;1,25;;;4,45;13,02;;
;;;41;4382011744;8;20;Цинк (желтый);8.8;Неполная;6;1,25;;;4,91;13,02;;
;;;41;4382011745;8;20;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;13,02;;
;;;41;4382015092;8;25;Без покрытия;10.9;Неполная;;1,25;;;4,64;14,84;;
;;;41;4382015093;8;25;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;14,84;;
;;;41;4382010009;8;25;Без покрытия;5.8;Неполная;;1,25;;;3,45;14,84;;
;;;41;4382010010;8;25;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;14,84;;
;;;41;4382011761;8;25;Без покрытия;8.8;Неполная;;1,25;;;4,45;14,84;;
;;;41;4382011762;8;25;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;14,84;;
;;;41;4382015908;8;25;Цинк (белый);5.8;Неполная;6;;;;3,87;14,84;;
;;;41;4382014990;8;30;Без покрытия;10.9;Неполная;;1,25;;;4,64;17,12;;
;;;41;4382014991;8;30;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;17,12;;
;;;41;4382010011;8;30;Без покрытия;5.8;Неполная;;1,25;;;3,45;17,12;;
;;;41;4382010012;8;30;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;17,12;;
;;;41;4382011747;8;30;Без покрытия;8.8;Неполная;;1,25;;;4,45;17,12;;
;;;41;4382011749;8;30;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;17,12;;
;;;41;4382015926;8;35;Без покрытия;10.9;Неполная;;1,25;;;4,64;19,09;;
;;;41;4382015927;8;35;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;19,09;;
;;;41;4382010013;8;35;Без покрытия;5.8;Неполная;;1,25;;;3,45;19,09;;
;;;41;4382010014;8;35;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;19,09;;
;;;41;4382011791;8;35;Без покрытия;8.8;Неполная;;1,25;;;4,45;19,09;;
;;;41;4382011792;8;35;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;17,91;;
;;;41;4382010015;8;40;Без покрытия;5.8;Неполная;;1,25;;;3,45;21,07;;
;;;41;4382010016;8;40;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;21,07;;
;;;41;4382011876;8;40;Без покрытия;8.8;Неполная;;1,25;;;4,45;21,07;;
;;;41;4382011877;8;40;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;21,07;;
;;;41;4382015457;8;40;Без покрытия;10.9;Неполная;;1,25;;;4,64;21,07;;
;;;41;4382015684;8;40;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;21,07;;
;;;41;4382014973;8;45;Без покрытия;10.9;Неполная;;1,25;;;4,64;23,04;;
;;;41;4382010017;8;45;Без покрытия;5.8;Неполная;;1,25;;;3,45;23,04;;
;;;41;4382010018;8;45;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;23,04;;
;;;41;4382012290;8;45;Без покрытия;8.8;Неполная;;1,25;;;4,45;23,04;;
;;;41;4382014900;8;45;Цинк (желтый);8.8;Неполная;6;1,25;;;4,91;23,04;;
;;;41;4382012291;8;45;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;23,04;;
;;;41;4382014974;8;50;Без покрытия;10.9;Неполная;;1,25;;;4,64;25,02;;
;;;41;4382014975;8;50;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;25,02;;
;;;41;4382010019;8;50;Без покрытия;5.8;Неполная;;1,25;;;3,45;25,02;;
;;;41;4382010020;8;50;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;25,02;;
;;;41;4382011878;8;50;Без покрытия;8.8;Неполная;;1,25;;;4,45;25,02;;
;;;41;4382011879;8;50;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;25,02;;
;;;41;4382014104;8;50;Цинк (желтый);8.8;Неполная;6;1,25;;;4,91;25,02;;
;;;41;4382016032;8;55;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;26,99;;
;;;41;4382010021;8;55;Без покрытия;5.8;Неполная;;1,25;;;3,45;26,99;;
;;;41;4382010022;8;55;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;26,99;;
;;;41;4382011763;8;55;Без покрытия;8.8;Неполная;;1,25;;;4,45;26,99;;
;;;41;4382011764;8;55;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;26,99;;
;;;41;4382015799;8;55;Без покрытия;10.9;Неполная;;1,25;;;4,64;26,99;;
;;;41;4382015094;8;60;Без покрытия;10.9;Неполная;;1,25;;;4,64;28,97;;
;;;41;4382015095;8;60;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;28,97;;
;;;41;4382010109;8;60;Без покрытия;5.8;Неполная;;1,25;;;3,45;28,97;;
;;;41;4382010111;8;60;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;28,97;;
;;;41;4382011880;8;60;Без покрытия;8.8;Неполная;;1,25;;;4,45;28,97;;
;;;41;4382014899;8;60;Цинк (желтый);8.8;Неполная;6;1,25;;;4,91;28,97;;
;;;41;4382011881;8;60;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;28,97;;
;;;41;4382010112;8;65;Без покрытия;5.8;Неполная;;1,25;;;3,45;30,94;;
;;;41;4382010114;8;65;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;30,94;;
;;;41;4382012292;8;65;Без покрытия;8.8;Неполная;;1,25;;;4,45;30,94;;
;;;41;4382014284;8;65;Цинк (желтый);8.8;Неполная;6;1,25;;;4,91;30,94;;
;;;41;4382012293;8;65;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;30,94;;
;;;41;4382016034;8;65;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;30,94;;
;;;41;4382017170;8;67;Цинк (желтый);8.8;Неполная;6;;;;4,59;1;;
;;;41;4382014976;8;70;Без покрытия;10.9;Неполная;;1,25;;;4,64;32,91;;
;;;41;4382014977;8;70;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;32,91;;
;;;41;4382010115;8;70;Без покрытия;5.8;Неполная;;1,25;;;3,45;32,91;;
;;;41;4382010117;8;70;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;32,91;;
;;;41;4382011857;8;70;Без покрытия;8.8;Неполная;;1,25;;;4,45;32,91;;
;;;41;4382011858;8;70;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;32,91;;
;;;41;4382010118;8;75;Без покрытия;5.8;Неполная;;1,25;;;3,45;34,89;;
;;;41;4382010120;8;75;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;34,89;;
;;;41;4382012473;8;75;Без покрытия;8.8;Неполная;;1,25;;;4,45;34,89;;
;;;41;4382012474;8;75;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;34,89;;
;;;41;4382017233;8;75;Цинк (желтый);8.8;Неполная;6;1,25;;;4,91;34,89;;
;;;41;4382015142;8;80;Без покрытия;10.9;Неполная;;1,25;;;4,64;36,86;;
;;;41;4382010121;8;80;Без покрытия;5.8;Неполная;;1,25;;;3,45;36,86;;
;;;41;4382010123;8;80;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;36,86;;
;;;41;4382011851;8;80;Без покрытия;8.8;Неполная;;1,25;;;4,45;36,86;;
;;;41;4382011852;8;80;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;36,86;;
;;;41;4382014223;8;80;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;36,86;;
;;;41;4382017129;8;80;Без покрытия;10.9;Неполная;;1,25;;;4,64;38,84;;
;;;41;4382010124;8;85;Без покрытия;5.8;Неполная;;1,25;;;3,45;38,84;;
;;;41;4382010126;8;85;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;38,84;;
;;;41;4382014483;8;85;Без покрытия;8.8;Неполная;;1,25;;;4,45;38,84;;
;;;41;4382014484;8;85;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;38,84;;
;;;41;4382015904;8;90;Без покрытия;10.9;Неполная;;1,25;;;4,64;40,81;;
;;;41;4382010127;8;90;Без покрытия;5.8;Неполная;;1,25;;;3,45;40,81;;
;;;41;4382010675;8;90;Цинк (желтый);5.8;Неполная;6;1,25;;;3,91;40,81;;
;;;41;4382010129;8;90;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;40,81;;
;;;41;4382012475;8;90;Без покрытия;8.8;Неполная;;1,25;;;4,45;40,81;;
;;;41;4382015175;8;90;Цинк (желтый);8.8;Неполная;6;1,25;;;4,91;40,81;;
;;;41;4382012476;8;90;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;40,81;;
;;;41;4382010130;8;95;Без покрытия;5.8;Неполная;;1,25;;;3,45;42,79;;
;;;41;4382010132;8;95;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;42,79;;
;;;41;4382013362;8;95;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;42,79;;
;;;41;4382017238;8;95;Цинк (белый);10.9;Неполная;6;1,25;;;5,06;42,79;;
;;;41;4382013361;8;95;Без покрытия;8.8;Неполная;;1,25;;;4,45;40,28;;
;;;41;4382015906;8;100;Без покрытия;10.9;Неполная;;1,25;;;4,64;44,76;;
;;;41;4382010133;8;100;Без покрытия;5.8;Неполная;;1,25;;;3,45;44,76;;
;;;41;4382010135;8;100;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;44,76;;
;;;41;4382011765;8;100;Без покрытия;8.8;Неполная;;1,25;;;4,45;44,76;;
;;;41;4382011766;8;100;Цинк (белый);8.8;Неполная;6;1,25;;;4,87;44,76;;
;;;41;4382013450;8;100;Цинк (белый);5.8;Неполная;6;1,25;;;3,87;44,76;;
;;;41;4382010023;10;20;Без покрытия;5.8;Неполная;;1,5;;;3,42;21,46;;
;;;41;4382010024;10;20;Цинк (белый);5.8;Неполная;6;1,5;;;3,84;21,46;;
;;;41;4382011795;10;20;Без покрытия;8.8;Неполная;;1,5;;;4,42;21,46;;
;;;41;4382011796;10;20;Цинк (белый);8.8;Неполная;6;1,5;;;4,84;21,46;;
;;;41;4382014963;10;25;Без покрытия;10.9;Неполная;;1,5;;;4,59;23,8;;
;;;41;4382014964;10;25;Цинк (белый);10.9;Неполная;6;1,5;;;5,01;23,8;;
;;;41;4382010025;10;25;Без покрытия;5.8;Неполная;;1,5;;;3,42;23,8;;
;;;41;4382010026;10;25;Цинк (белый);5.8;Неполная;6;1,5;;;3,84;23,8;;
;;;41;4382011797;10;25;Без покрытия;8.8;Неполная;;1,5;;;4,42;23,8;;
;;;41;4382011798;10;25;Цинк (белый);8.8;Неполная;6;1,5;;;4,84;23,8;;
;;;41;4382016528;10;25;Цинк (белый);8.8;Неполная;6;1;;;4,84;23,8;;
;;;41;4382014980;10;30;Без покрытия;10.9;Неполная;;1,5;;;4,59;25,87;;
;;;41;4382014981;10;30;Цинк (белый);10.9;Неполная;6;1,5;;;5,01;25,87;;
;;;41;4382010027;10;30;Без покрытия;5.8;Неполная;;1,5;;;3,42;25,87;;
;;;41;4382010028;10;30;Цинк (белый);5.8;Неполная;6;1,5;;;3,84;25,87;;
;;;41;4382011799;10;30;Без покрытия;8.8;Неполная;;1,5;;;4,42;25,87;;
;;;41;4382011800;10;30;Цинк (белый);8.8;Неполная;6;1,5;;;4,84;25,87;;
